event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
2026-04-24 11:48:45.5060000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|update HT_Rooms set Room_Clean='yes',Room_Use='no' where room_no='306'|NULL|update HT_Rooms set Room_Clean='yes',Room_Use='no' where room_no='306'
2026-04-24 11:48:45.5080000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|select max(id) as num from HT_Rooms_Cancel|NULL|select max(id) as num from HT_Rooms_Cancel
2026-04-24 11:48:45.5090000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|INSERT INTO [HT_Rooms_Cancel]([id],[room_no],[cin_no],[cancel_date],[cancel_by],[cancel_note])VALUES(298,'306','CH26-005233',getdate(),'Admin','ยกเลิกคุณนัท')|NULL|INSERT INTO [HT_Rooms_Cancel]([id],[room_no],[cin_no],[cancel_date],[cancel_by],[cancel_note])VALUES(298,'306','CH26-005233',getdate(),'Admin','ยกเลิกคุณนัท')
2026-04-24 11:48:45.5220000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|12|UPDATE [HT_CheckIn_H] SET  [Total_Price_Room]=Total_Price_Room-890,[Total_Price_Net]=[Total_Price_Net]-890,[Total_Price_Pay]=[Total_Price_Pay]-0,[Total_Price_Balance]=([Total_Price_Balance]-890)+0 where [Cin_no]='CH26-005233'|NULL|UPDATE [HT_CheckIn_H] SET  [Total_Price_Room]=Total_Price_Room-890,[Total_Price_Net]=[Total_Price_Net]-890,[Total_Price_Pay]=[Total_Price_Pay]-0,[Total_Price_Balance]=([Total_Price_Balance]-890)+0 where [Cin_no]='CH26-005233'
2026-04-24 11:48:45.5260000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|4|select * from HT_CheckIn_Ds where  Cin_No='CH26-005233'|NULL|select * from HT_CheckIn_Ds where  Cin_No='CH26-005233'
2026-04-24 11:48:45.5270000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_CheckIn_Product where  Cin_No='CH26-005233'|NULL|select * from HT_CheckIn_Product where  Cin_No='CH26-005233'
2026-04-24 11:48:45.5380000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_Rooms where room_no='306'|NULL|select * from HT_Rooms where room_no='306'
2026-04-24 11:48:45.5380000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|10|update HT_CheckIn_H set cin_status='ยกเลิก' where cin_no='CH26-005233'|NULL|update HT_CheckIn_H set cin_status='ยกเลิก' where cin_no='CH26-005233'
2026-04-24 11:48:45.5440000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|5|select id from HT_POWER_LOG where room_no='306' and ROOM_POWER_END_BY=''|NULL|select id from HT_POWER_LOG where room_no='306' and ROOM_POWER_END_BY=''
2026-04-24 11:48:45.5600000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|15|update HT_POWER_LOG SET ROOM_POWER_END=GETDATE(),ROOM_POWER_END_BY='Admin',ROOM_POWER_NOTE2='ปิดไฟ เนื่องจากยกเลิกห้องพัก' where room_no='306' and ROOM_POWER_END_BY=''|NULL|update HT_POWER_LOG SET ROOM_POWER_END=GETDATE(),ROOM_POWER_END_BY='Admin',ROOM_POWER_NOTE2='ปิดไฟ เนื่องจากยกเลิกห้องพัก' where room_no='306' and ROOM_POWER_END_BY=''
2026-04-24 11:48:46.4150000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * From HT_Rooms  order by room_NO|NULL|select * From HT_Rooms  order by room_NO
2026-04-24 11:48:46.7160000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type|NULL|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type
2026-04-24 11:48:46.7160000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|300|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc|NULL|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc
2026-04-24 11:48:46.7350000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|18|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 11:48:46.7360000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'|NULL|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'
2026-04-24 11:48:46.8960000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|159|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc|NULL|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc
