==== Tables (filter to HT_* and View_* — adjust if your prefix differs) ====
table_name|create_date|modify_date|approx_row_count
----------|-----------|-----------|----------------
dbo.HT_CheckIn_Pay|11|Cin_Pay_Ds_unit|varchar|100|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|12|Cin_Pay_Ds_Num|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Pay|13|Cin_Pay_Ds_PriceOne|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Pay|14|Cin_Pay_Ds_PriceTotal|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Pay|15|Cin_Cust_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|16|Cin_Status|varchar|50|0|0|0|0|((1))
dbo.HT_CheckIn_Pay|17|Cin_Pay_Note|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|18|Pay_by|varchar|100|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|19|Cin_Pay_Free|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_Pay|20|Cin_Pay_Tran|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_Pay|21|Branch|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|22|Cin_Pay_web|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_Product|1|id|int|4|10|0|0|1|NULL
dbo.HT_CheckIn_Product|2|Cin_No|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Product|3|Cin_Room_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Product|4|Cin_Ds_date|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_Product|5|Cin_Pro_id|varchar|250|0|0|1|0|NULL
dbo.HT_CheckIn_Product|6|Cin_Pro_name|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Product|7|Cin_Pro_Unit|varchar|250|0|0|1|0|NULL
dbo.HT_CheckIn_Product|8|Cin_Pro_num|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Product|9|Cin_Pro_price|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Product|10|Cin_Pro_priceTotal|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Product|11|Cin_Pro_pay|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Product|12|Cin_Pro_note|varchar|500|0|0|1|0|NULL
dbo.HT_ContinueTime|1|id|int|4|10|0|0|1|NULL
dbo.HT_ContinueTime|2|Con_Name|varchar|250|0|0|1|0|NULL
dbo.HT_ContinueTime|3|Con_Minute|int|4|10|0|1|0|NULL
dbo.HT_ContinueTime|4|Con_Price|float|8|53|0|1|0|NULL
dbo.HT_ContinueTime|5|Con_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Cupon|1|cupon_no|int|4|10|0|1|0|NULL
dbo.HT_Cupon|2|cupon_cin_no|varchar|50|0|0|1|0|NULL
dbo.HT_Cupon|3|cupon_cin_room|varchar|50|0|0|1|0|NULL
dbo.HT_Cupon|4|cupon_date|datetime|8|23|3|1|0|NULL
dbo.HT_Cupon|5|cupon_gen_date|datetime|8|23|3|1|0|NULL
dbo.HT_Cupon|6|cupon_by|varchar|50|0|0|1|0|NULL
dbo.HT_Cupon|7|cupon_print|int|4|10|0|0|0|((0))
dbo.HT_Customers|1|id|int|4|10|0|0|0|NULL
dbo.HT_Customers|2|Cust_no|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|3|Cust_perfix|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|4|Cust_name|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|5|Cust_name2|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|6|Cust_sex|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|7|Cust_IDcard|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|8|Cust_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|9|Cust_Email|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|10|Cust_Add_no|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|11|Cust_Add_moo|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|12|Cust_Add_soi|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|13|Cust_Add_road|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|14|Cust_Add_tambon|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|15|Cust_Add_ampore|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|16|Cust_Add_province|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|17|Cust_Add_code|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|18|Cust_Add_tel|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|19|Cust_Add_fax|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|20|Cust_Work_Name|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|21|Cust_Work_no|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|22|Cust_Work_moo|varchar|50|0|0|1|0|NULL
dbo.HT_Customers|23|Cust_Work_soi|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|24|Cust_Work_road|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|25|Cust_Work_tambon|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|26|Cust_Work_ampore|varchar|250|0|0|1|0|NULL
dbo.HT_Customers|27|Cust_Work_province|varchar|250|0|0|1|0|NULL
