event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
2026-04-24 10:11:53.1730000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|update HT_Rooms set Room_Clean='no',Room_Clean_Time='' where id=15|NULL|update HT_Rooms set Room_Clean='no',Room_Clean_Time='' where id=15
2026-04-24 10:11:53.1730000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|26|select top 1 cin_no,cin_cust_name from View_CheckIn_Ds where Cin_room_status='Check-Out' and cin_room_no='402' order by cin_room_out desc|NULL|select top 1 cin_no,cin_cust_name from View_CheckIn_Ds where Cin_room_status='Check-Out' and cin_room_no='402' order by cin_room_out desc
2026-04-24 10:11:53.1740000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|INSERT INTO HT_Housewife ([h_name],[h_room],[h_date],[h_note],[h_cin],[h_cin_name]) VALUES ('Admin', '402', '4/24/2026 5:11:53 PM', '','CH26-005228','SPIKE TEST  WALKIN')|NULL|INSERT INTO HT_Housewife ([h_name],[h_room],[h_date],[h_note],[h_cin],[h_cin_name]) VALUES ('Admin', '402', '4/24/2026 5:11:53 PM', '','CH26-005228','SPIKE TEST  WALKIN')
2026-04-24 10:11:53.1740000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_Rooms where room_no='402'|NULL|select * from HT_Rooms where room_no='402'
2026-04-24 10:11:53.1800000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|5|select id from HT_POWER_LOG where room_no='402' and ROOM_POWER_END_BY=''|NULL|select id from HT_POWER_LOG where room_no='402' and ROOM_POWER_END_BY=''
2026-04-24 10:11:53.9550000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * From HT_Rooms  order by room_NO|NULL|select * From HT_Rooms  order by room_NO
2026-04-24 10:11:54.2490000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|294|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc|NULL|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc
2026-04-24 10:11:54.2500000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type|NULL|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type
2026-04-24 10:11:54.2680000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|18|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 10:11:54.2700000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|1|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'|NULL|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'
2026-04-24 10:11:54.4210000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_RoomType|NULL|select * from HT_SET_RoomType
2026-04-24 10:11:54.4210000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|150|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc|NULL|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc
2026-04-24 10:11:54.8220000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|32|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id|NULL|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id
2026-04-24 10:11:54.8270000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO|NULL|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO
2026-04-24 10:12:02.5770000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 10:12:02.5860000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_Rooms where room_no='403'|NULL|select * from HT_Rooms where room_no='403'
2026-04-24 10:12:02.6080000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_ContinueTime where Con_Type='รายวัน'|NULL|select * from HT_ContinueTime where Con_Type='รายวัน'
2026-04-24 10:12:02.6080000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|21|select * from View_CheckIn_Ds where Cin_Room_no='403' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select * from View_CheckIn_Ds where Cin_Room_no='403' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 10:12:02.6110000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|3|select total_price_balance from HT_CheckIn_H where cin_no ='CH26-005229'|NULL|select total_price_balance from HT_CheckIn_H where cin_no ='CH26-005229'
2026-04-24 10:12:02.6130000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|1|select cupon_no from HT_Cupon where cupon_cin_no='CH26-005229' and cupon_print=0|NULL|select cupon_no from HT_Cupon where cupon_cin_no='CH26-005229' and cupon_print=0
2026-04-24 10:12:03.6580000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|16|select * from View_CheckIn_Ds where Cin_Room_no='403' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select * from View_CheckIn_Ds where Cin_Room_no='403' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 10:12:03.6590000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 10:12:04.1140000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType_Main order by name desc|NULL|select * from HT_SET_CusType_Main order by name desc
2026-04-24 10:12:04.1160000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_Order_Up where cast_type='System.Data.DataRowView' order by id|NULL|select * from HT_Order_Up where cast_type='System.Data.DataRowView' order by id
2026-04-24 10:12:04.1180000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_Order_Up where cast_type='บุคคลธรรมดา' order by id|NULL|select * from HT_Order_Up where cast_type='บุคคลธรรมดา' order by id
2026-04-24 10:12:04.1180000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType order by name|NULL|select * from HT_SET_CusType order by name
2026-04-24 10:12:04.1190000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType where name='System.Data.DataRowView'|NULL|select * from HT_SET_CusType where name='System.Data.DataRowView'
2026-04-24 10:12:04.1220000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType where name='ราคาบริษัท/ราชการ'|NULL|select * from HT_SET_CusType where name='ราคาบริษัท/ราชการ'
2026-04-24 10:12:04.1230000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType where name='ราคาปกติ'|NULL|select * from HT_SET_CusType where name='ราคาปกติ'
2026-04-24 10:12:04.1270000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|3|select * from HT_CheckIn_H where Cin_no='CH26-005229'|NULL|select * from HT_CheckIn_H where Cin_no='CH26-005229'
2026-04-24 10:12:04.1310000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|4|select * from HT_CheckIn_Ds where Cin_no='CH26-005229' order by Cin_Room_No|NULL|select * from HT_CheckIn_Ds where Cin_no='CH26-005229' order by Cin_Room_No
2026-04-24 10:12:04.1320000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_CheckIn_Product where Cin_no='CH26-005229'|NULL|select * from HT_CheckIn_Product where Cin_no='CH26-005229'
